solo_KillDeathRatio,solo_WinRatio,solo_Rating,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg
3.07,13.04,2752.07,292.58,1.57,2.67,4418.45,1335.71
2.81,16.28,2454.4,270.68,1.65,2.35,3913.7,1196.21
3.29,6.35,2310.27,352.86,2.7,3.08,3367.76,1010.41
1.65,9.34,2764.53,186.03,5.53,1.5,8353.64,1430.91
2.01,6.77,2796.76,222.53,1.26,1.87,5956.23,1248.1
1.7,3.26,2540.74,207.69,1.58,1.64,4864.61,1206.96
2.0,0.0,1380.95,264.59,1.44,2.0,4475.07,1283.2
2.91,8.2,1963.06,308.04,1.21,2.67,2197.02,887.94
1.77,3.57,2253.85,196.16,0.9,1.7,2556.64,743.53
4.72,29.13,2766.5,397.86,3.05,3.35,6624.63,1508.27
1.98,8.16,2260.11,227.32,1.67,1.82,4172.73,1095.38
4.06,7.8,2452.26,425.55,1.81,3.74,2934.74,825.23
5.19,8.7,1537.67,483.0,1.43,4.74,3145.43,937.9
2.56,10.71,2211.53,257.83,1.21,2.29,6148.66,1392.22
2.67,0.0,1223.05,332.38,3.0,2.67,3109.27,910.4
6.7,21.05,2217.44,560.47,1.37,5.29,4890.66,1425.97
2.35,5.06,2358.29,263.77,1.99,2.23,2902.68,884.68
1.18,5.23,2762.94,136.25,1.84,1.12,4869.56,1221.57
1.45,2.2,2347.61,169.62,1.11,1.42,3002.74,891.03
4.0,100.0,1331.23,434.14,3.0,4.0,3126.37,1963.65
1.54,3.57,2059.52,162.28,1.41,1.48,2696.21,928.66
1.0,0.0,1187.28,167.38,0.0,1.0,318.99,821.24
2.75,2.7,2274.68,288.83,1.24,2.68,2219.4,687.29
1.96,3.57,2069.08,222.79,2.43,1.89,4399.88,1320.22
3.35,13.04,2065.47,322.18,2.0,2.91,3872.48,1182.01
4.47,19.05,2218.96,374.05,4.52,3.62,3425.93,1247.75
3.0,0.0,1387.37,364.54,0.67,3.0,5914.17,1796.36
2.09,2.78,1991.66,235.81,1.19,2.03,2569.91,1104.28
1.62,6.33,2353.31,174.52,1.28,1.52,2526.0,1038.18
1.98,10.54,2782.33,214.76,12.15,1.77,6531.43,1474.65
1.82,6.77,2752.62,214.57,1.8,1.69,4857.47,1267.83
6.27,16.98,2090.93,588.52,0.77,5.21,3249.69,1108.64
1.69,7.14,1716.53,191.55,1.07,1.57,3099.19,1086.12
5.12,15.0,2154.48,458.31,2.05,4.35,4641.97,1336.48
1.07,0.0,1486.64,141.07,0.71,1.07,3615.35,1019.12
2.52,11.28,2692.61,253.65,1.58,2.24,4901.91,1393.59
1.97,9.88,2689.06,205.48,2.45,1.78,5497.82,1309.56
2.19,1.05,2062.27,242.17,1.63,2.17,2105.2,744.72
2.48,3.76,2430.27,283.47,1.26,2.39,2414.11,871.95
3.34,12.84,2661.02,359.32,1.94,2.91,4866.75,1336.44
2.0,6.98,2668.04,225.58,1.45,1.86,4666.49,1178.02
4.25,33.33,1365.36,289.24,2.33,2.83,3611.32,1513.75
4.86,20.63,2705.73,448.43,2.05,3.86,5658.69,1194.64
1.11,5.51,2746.95,130.99,2.45,1.05,5450.17,1307.07
2.82,18.52,2321.74,249.2,1.54,2.3,2759.99,1372.02
3.43,11.07,2704.01,354.28,3.67,3.05,3863.46,1175.27
2.65,8.27,2819.95,278.3,1.34,2.43,3301.96,1193.22
1.26,4.0,2763.59,150.38,1.64,1.2,4875.98,1238.18
16.0,50.0,1427.99,855.52,0.5,8.0,6633.28,1819.27
1.59,1.45,2140.88,173.67,1.35,1.57,3327.0,858.03
9.0,50.0,1341.95,494.27,0.0,4.5,2678.59,1660.96
1.79,1.49,2180.54,217.19,1.84,1.76,2739.17,937.88
2.2,16.67,1332.36,250.74,0.83,1.83,2742.4,877.26
2.34,5.8,2290.07,246.52,1.01,2.2,2338.18,884.59
2.93,3.23,2131.08,315.06,1.29,2.84,3961.15,1201.0
3.59,19.05,1696.86,301.9,1.95,2.9,4807.09,1440.43
1.68,7.32,2724.8,202.88,1.73,1.56,4653.85,1180.29
3.01,9.23,2696.38,333.89,1.3,2.73,3326.92,1226.55
4.31,16.44,2788.04,387.09,3.23,3.6,5103.31,1388.85
0.0,0.0,1138.12,0.0,0.0,0.0,0.0,619.0
2.8,16.67,1383.1,276.32,0.5,2.33,3058.65,1112.05
1.0,0.0,1239.78,89.09,0.0,1.0,5648.74,1437.86
2.86,20.88,2726.66,249.04,5.71,2.26,7844.42,1486.01
3.65,9.09,1928.34,374.21,0.82,3.32,4394.28,1296.28
1.49,5.52,2676.44,174.09,1.04,1.4,4343.58,1051.99
2.58,6.31,2209.78,277.44,1.55,2.41,3366.46,899.18
4.43,12.5,1320.32,402.87,1.0,3.88,2579.24,808.97
3.31,6.9,2310.86,346.48,1.13,3.09,2047.41,858.25
1.7,2.2,2246.52,187.12,1.12,1.66,1536.94,583.9
0.97,0.0,1611.7,112.2,0.95,0.97,2318.08,737.85
2.48,8.33,2587.5,288.9,1.89,2.28,4487.08,1160.85
3.08,7.14,1350.56,312.6,1.14,2.86,1450.6,875.38
1.91,2.9,2273.49,222.42,1.57,1.86,4440.91,1153.34
2.33,8.33,2308.06,269.24,1.25,2.13,2569.52,1074.66
0.0,0.0,1154.45,0.0,0.0,0.0,0.0,426.61
1.18,2.08,2686.78,145.59,1.56,1.15,4487.26,1017.65
2.75,20.0,1373.05,249.34,0.4,2.2,2923.73,924.53
2.05,9.52,2533.19,216.04,1.22,1.86,4260.03,1269.86
3.32,16.67,2730.63,323.18,4.68,2.77,4496.84,1441.87
5.72,14.93,2412.46,513.46,2.07,4.87,2325.25,1097.55
1.94,3.57,2115.96,230.17,1.61,1.87,3231.78,904.2
4.0,14.29,1384.63,385.18,1.29,3.43,2625.6,1225.7
3.19,16.58,2753.81,324.81,1.62,2.66,5944.08,1395.15
4.38,26.58,2393.33,365.62,2.27,3.22,4844.04,1453.2
5.02,17.89,2592.43,465.16,1.76,4.12,3303.54,1112.19
2.48,12.12,1989.21,252.63,1.27,2.18,3539.22,1044.81
2.65,17.36,2593.86,243.78,1.08,2.19,4065.1,1339.67
1.92,7.62,2672.48,213.84,2.38,1.77,4377.45,1199.92
2.75,7.08,2665.79,291.38,2.12,2.55,3754.02,895.71
2.74,8.0,2103.56,259.85,3.24,2.52,6282.74,1356.02
4.5,0.0,1259.08,459.32,0.5,4.5,7305.44,1206.74
4.45,8.33,1590.17,415.89,2.17,4.08,2427.9,992.08
5.17,19.3,2233.08,443.0,4.89,4.18,4876.72,1347.68
4.86,22.22,1769.45,374.28,2.56,3.78,7001.73,1614.45
3.09,12.82,2347.35,308.56,2.33,2.69,3211.84,1286.28
2.6,6.25,1670.21,273.44,1.09,2.44,2974.37,759.82
1.54,4.82,2413.84,182.42,1.47,1.47,4374.89,1136.09
2.1,3.57,2016.78,237.8,1.06,2.02,1476.0,586.31
1.22,5.69,2709.07,142.43,5.0,1.15,5593.1,1223.82
1.71,5.78,2581.33,203.73,1.57,1.61,4037.72,1005.16
0.92,3.08,2683.15,109.26,1.71,0.89,7504.73,1352.24
6.17,14.29,1451.06,546.69,2.14,5.29,2839.84,992.38
1.38,11.11,1421.4,140.45,1.5,1.22,2959.19,929.41
5.0,22.73,2065.16,444.21,1.09,3.86,4010.56,1314.94
3.73,21.43,2292.5,331.43,1.36,2.93,4819.54,1316.43
2.17,11.89,2729.88,214.86,1.27,1.92,5345.62,1363.46
1.18,0.0,1299.14,137.98,1.0,1.18,1752.22,914.81
1.37,7.63,2744.7,147.34,2.85,1.27,5897.29,1538.64
2.43,9.38,2549.2,277.58,1.97,2.2,4833.06,1053.9
6.26,28.33,2679.91,486.39,0.88,4.48,4807.64,1477.9
1.73,3.17,2424.29,195.6,1.88,1.67,3856.68,1085.69
2.54,14.52,2800.72,235.11,10.01,2.17,5624.25,1410.77
3.39,8.47,1664.58,326.58,1.71,3.1,4072.25,919.22
