duo_KillDeathRatio,duo_WinRatio,duo_Wins,duo_Rating,duo_DamagePg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_TimeSurvivedPg,duo_RoundMostKills,duo_WinPoints
4.94,31.08,46,2567.39,405.02,3.01,3.41,6204.75,0.28,1482.58,11,3740
0.81,2.27,2,1765.59,101.07,1.57,0.8,2882.65,0.09,873.23,6,1454
1.43,2.46,3,2227.11,196.2,1.81,1.39,4564.1,0.19,1091.42,10,2955
3.34,25.46,69,2757.15,303.3,2.45,2.49,6422.27,0.23,1353.83,15,3724
8.55,41.96,60,2371.45,630.75,2.62,4.97,6128.71,0.24,1547.27,13,1966
4.68,26.32,10,2163.1,398.6,2.21,3.45,4678.57,0.45,1189.13,12,4064
0.98,6.19,6,2248.42,123.8,1.53,0.92,4815.59,0.14,1199.71,5,1908
3.49,11.36,5,1854.59,395.64,2.68,3.09,3307.71,0.3,994.22,14,2606
1.99,12.37,12,2354.83,221.11,1.81,1.74,5197.4,0.15,1313.04,9,3083
1.57,6.43,11,2077.9,200.07,1.64,1.47,3180.11,0.11,1011.18,8,1724
1.67,0.0,0,1207.9,211.07,1.17,1.67,1561.35,0.17,698.98,6,996
2.06,10.0,4,2007.45,238.58,1.7,1.85,4636.71,0.25,1301.91,11,1688
10.75,42.86,3,1577.75,670.45,1.71,6.14,4316.68,0.14,1086.89,19,1295
1.41,3.16,3,2046.14,181.79,2.24,1.37,3059.75,0.17,925.02,7,2677
2.13,10.39,8,2433.82,251.63,2.94,1.91,5834.12,0.13,1335.57,9,2031
1.23,10.87,25,2547.37,145.75,2.59,1.1,5896.13,0.16,1252.18,8,6990
6.78,50.0,9,2231.81,436.18,2.83,3.39,7738.06,0.17,1551.28,9,1852
0.8,2.99,6,2192.98,114.96,1.62,0.78,2482.42,0.1,806.38,6,2876
4.34,15.19,12,2287.75,462.65,2.47,3.68,4160.73,0.24,1131.59,15,4095
1.64,3.23,4,2156.87,206.34,1.89,1.59,3197.31,0.2,898.6,9,4026
2.4,17.99,34,2469.74,237.99,3.01,1.97,6250.01,0.2,1366.47,10,4468
1.85,17.57,13,2544.65,188.96,2.91,1.53,6323.73,0.2,1430.09,8,3433
2.6,0.0,0,1290.7,317.43,1.0,2.6,2191.38,0.2,913.55,8,1055
3.24,22.22,12,2409.76,296.78,2.33,2.52,6842.76,0.28,1563.44,9,2014
7.85,35.0,7,1863.77,607.18,1.1,5.1,2846.18,0.35,1192.55,12,3569
2.47,11.76,2,2033.52,245.38,2.88,2.18,7432.07,0.18,1575.1,6,3845
1.63,3.26,6,2245.44,195.31,1.46,1.58,2892.83,0.12,937.18,14,1860
2.29,2.78,1,1785.2,247.51,1.33,2.22,2782.08,0.19,907.89,9,2445
1.72,2.41,2,2196.22,221.78,1.67,1.67,3077.81,0.16,909.84,8,1810
2.87,21.05,4,2014.74,286.61,2.89,2.26,4701.81,0.21,1302.57,8,1697
2.27,9.78,9,2224.88,267.43,3.03,2.04,5077.21,0.15,1277.54,9,1850
15.0,60.0,3,1683.77,580.25,2.0,6.0,7977.16,0.0,1462.11,12,1406
2.88,4.65,2,1978.42,347.57,1.49,2.74,5094.83,0.35,1256.74,11,1614
2.21,9.55,15,2220.42,237.89,2.35,2.0,3985.88,0.28,1154.35,9,7054
3.27,16.13,5,2031.46,348.95,4.74,2.74,5656.76,0.29,1254.76,9,1679
3.67,16.67,3,1465.92,368.99,2.06,3.06,2893.17,0.33,969.01,9,3371
1.18,1.06,2,1923.26,149.98,0.91,1.16,2469.7,0.14,700.03,9,1587
2.03,12.82,5,2225.14,245.49,1.9,1.77,5772.87,0.18,1346.75,9,1857
2.69,9.94,18,2385.57,304.47,2.5,2.42,3779.17,0.21,1056.99,12,5305
3.01,13.68,26,2448.0,345.05,2.43,2.59,4279.24,0.22,1153.64,15,5011
3.15,15.79,9,2465.44,315.69,2.74,2.65,5264.17,0.32,1297.46,11,3052
1.62,9.59,7,2217.07,208.67,2.11,1.47,5566.29,0.22,1284.29,6,1845
1.63,0.0,0,1674.75,199.88,1.75,1.63,2928.05,0.02,780.52,8,1352
6.29,22.73,5,1950.33,583.59,2.23,4.86,4796.27,0.18,1290.28,14,2625
2.67,12.24,29,2445.06,290.52,2.83,2.34,4822.68,0.22,1312.65,11,3663
3.92,17.05,75,2725.74,427.04,1.36,3.25,3450.67,0.25,1126.79,20,5154
2.19,4.92,3,1739.71,269.47,1.54,2.08,3472.16,0.21,1024.94,10,2582
1.54,6.12,3,1999.54,192.41,1.94,1.45,3307.64,0.12,1009.7,9,2642
2.33,10.0,2,1581.72,272.2,1.95,2.1,6851.96,0.15,1258.41,7,2414
1.64,4.26,4,2076.86,226.06,1.84,1.57,2738.63,0.19,940.44,10,3786
2.22,13.33,18,2387.61,249.33,2.79,1.93,4715.57,0.26,1145.75,9,3107
3.5,20.0,2,1591.82,288.68,0.8,2.8,3211.92,0.2,1296.58,8,1326
4.87,20.69,6,2034.6,404.29,2.83,3.86,4285.71,0.17,1207.25,12,1664
1.98,5.71,6,1926.17,220.13,1.48,1.87,1695.3,0.12,761.92,15,1568
1.97,11.11,8,1986.57,275.13,2.78,1.75,4021.98,0.29,1336.3,7,1649
