,tracker_id,solo_WinRatio,solo_Wins,solo_KillDeathRatio,solo_Rating,solo_KillsPg,solo_DamagePg,solo_HealsPg
75212,145609,0.0,1,0.88,1642.72,0.86,109.05,1.59
75213,161192,0.0,2,1.38,2066.64,1.34,191.18,1.73
75214,73488,0.0,1,0.92,1540.46,0.88,105.89,1.2
75215,52748,0.0,0,1.14,1659.96,1.14,154.48,1.11
75216,125513,0.0,1,1.29,1658.43,1.26,155.34,0.84
75217,75770,0.0,1,1.6,1931.53,1.57,184.05,1.43
75218,126996,0.0,1,2.15,1750.89,2.11,244.2,1.43
75219,110060,0.0,0,1.89,1527.11,1.89,236.08,1.95
75220,47137,0.0,5,2.37,2290.84,2.27,266.36,1.07
75221,154330,0.0,0,0.0,1212.11,0.0,0.0,0.0
75222,124588,0.0,0,1.78,1763.47,1.78,212.86,1.56
75223,190279,0.0,2,2.83,1599.3,2.62,301.53,1.42
75224,189499,0.0,2,1.97,1696.45,1.84,205.16,1.5
75225,73548,0.0,1,1.5,1398.34,1.29,149.23,1.71
75226,146030,0.0,4,0.7,2001.57,0.68,83.43,1.89
75227,86804,0.0,0,0.87,1622.08,0.87,108.21,1.13
75228,176937,0.0,0,1.29,1302.35,1.29,124.39,0.71
75229,111113,0.0,2,1.94,1743.81,1.87,219.72,1.33
75230,2882,0.0,0,1.64,1506.99,1.64,196.04,0.93
75231,163085,0.0,2,1.17,1837.2,1.13,126.02,0.82
75232,112775,0.0,0,0.5,1243.81,0.5,95.14,1.5
75233,139036,0.0,0,1.8,1351.88,1.8,204.33,0.4
75234,36291,0.0,8,2.75,2338.24,2.57,281.52,1.68
75235,173017,0.0,2,1.48,1665.63,1.43,170.08,1.31
75236,52188,0.0,4,1.39,2082.59,1.33,162.76,0.98
75237,118316,0.0,1,1.56,1886.86,1.53,195.96,1.53
75238,221128,0.0,2,0.71,1750.33,0.7,95.53,0.5
75239,172201,0.0,0,0.67,1233.88,0.67,121.83,1.67
75240,125124,0.0,1,1.34,2223.63,1.33,152.8,2.35
75241,72521,0.0,1,1.28,1786.74,1.26,160.78,1.61
75242,206569,0.0,0,0.53,1479.36,0.53,67.57,0.79
75243,57389,0.0,3,1.54,2130.38,1.52,179.46,1.19
75244,8041,0.0,0,1.18,1433.49,1.18,149.1,0.68
75245,117913,0.0,0,0.59,1260.23,0.59,77.21,0.76
75246,3909,0.0,1,1.76,1660.86,1.72,190.35,1.12
75247,57569,0.0,1,2.17,1810.31,2.08,205.47,1.71
75248,158221,0.0,2,1.18,1830.99,1.15,140.96,1.15
75249,10017,0.0,4,1.2,1806.97,1.12,140.44,0.91
75250,197513,0.0,1,0.89,1696.83,0.88,111.9,0.88
75251,129132,0.0,3,1.08,2382.02,1.06,131.06,1.35
75252,200024,0.0,0,0.5,1321.16,0.5,58.51,1.36
75253,209625,0.0,0,0.67,1190.54,0.67,81.51,0.33
75254,97736,0.0,2,1.56,1552.9,1.47,150.48,1.0
75255,101013,0.0,2,1.47,1823.69,1.45,160.81,0.72
75256,84025,0.0,2,2.9,1775.26,2.64,310.41,0.82
75257,103025,0.0,3,0.95,1769.08,0.94,113.59,1.05
75258,89027,0.0,1,2.33,1692.91,2.23,245.24,4.59
75259,27526,0.0,0,0.48,1422.45,0.48,68.38,1.48
75260,66962,0.0,4,1.04,2291.27,1.03,133.36,1.05
75261,76295,0.0,2,4.14,1724.04,3.62,372.7,1.56
75262,140744,0.0,0,1.57,1249.42,1.57,162.39,0.71
75263,175391,0.0,1,1.43,1655.24,1.4,177.4,1.44
75264,15414,0.0,1,0.87,2075.91,0.86,104.3,1.03
75265,100305,0.0,4,1.3,2151.37,1.27,167.45,1.36
75266,160526,0.0,1,0.97,1822.21,0.96,124.83,1.51
75267,184998,0.0,0,0.33,1211.11,0.33,85.76,1.0
75268,21717,0.0,3,2.28,2115.85,2.09,249.04,1.4
75269,28026,0.0,0,0.79,1361.82,0.79,102.8,0.42
75270,67297,0.0,0,1.5,1256.17,1.5,188.82,1.5
75271,98722,0.0,1,3.57,1552.75,3.12,329.82,1.25
75272,117606,0.0,0,0.81,1856.09,0.81,105.75,0.92
75273,67557,0.0,1,2.06,1483.99,2.0,218.6,1.06
